Well_Name,X-world_coor[m],Y-world_coord[m],Start_Time[day],Stop_Time[day],Rate[m^3/d],Number_of_Screen,Screen_Top1[m],Screen_Bot1[m]
VAZAR1389,2.9252425E+05,9.1043012E+06,0.0000000E+00,1.0000000E+00,-5.0924980E+00,1,-1.2247410E+00,-7.5313920E+01
VAZAR1449,2.9115092E+05,9.1045909E+06,0.0000000E+00,1.0000000E+00,-4.7746000E-02,1,7.3642460E+00,-1.8641048E+01
VAZAR1450,2.9124705E+05,9.1045634E+06,0.0000000E+00,1.0000000E+00,-1.4288950E+00,1,7.4882790E+00,-1.8076949E+01
VAZAR1453,2.9153543E+05,9.1044807E+06,0.0000000E+00,1.0000000E+00,-2.0914900E-01,1,6.3782470E+00,-2.3950569E+01
VAZAR1454,2.9163155E+05,9.1044531E+06,0.0000000E+00,1.0000000E+00,-2.6235600E-01,1,6.3814510E+00,-2.7241949E+01
VAZAR1455,2.9172768E+05,9.1044256E+06,0.0000000E+00,1.0000000E+00,-6.3794600E+00,1,6.5135170E+00,-3.0868811E+01
VAZAR1456,2.9182381E+05,9.1043980E+06,0.0000000E+00,1.0000000E+00,-7.2797590E+00,1,6.9251420E+00,-3.4034385E+01
VAZAR1457,2.9191993E+05,9.1043704E+06,0.0000000E+00,1.0000000E+00,-7.2797590E+00,1,6.8302080E+00,-3.4402276E+01
VAZAR1458,2.9201606E+05,9.1043429E+06,0.0000000E+00,1.0000000E+00,-7.2797590E+00,1,7.0159900E+00,-4.1989517E+01
VAZAR1459,2.9211218E+05,9.1043153E+06,0.0000000E+00,1.0000000E+00,-7.2797590E+00,1,6.5586650E+00,-4.6633579E+01
VAZAR1460,2.9220831E+05,9.1042877E+06,0.0000000E+00,1.0000000E+00,-7.2797590E+00,1,5.4976450E+00,-5.4466262E+01
