FeatureID,PartID,X,Y,Z,SLB_WHI_ID,,,,,,FeatureID,PartID,X,Y
19,1,293081.5508,9105337.714,0,815d4260-8cdb-4b31-abcc-4216d1368705,,,,0,,24,1,292284.9777,9105462.097
19,1,293053.9871,9105241.587,0,815d4260-8cdb-4b31-abcc-4216d1368705,,,,0,,24,1,292381.1039,9105434.534
19,1,292957.8609,9105269.151,0,815d4260-8cdb-4b31-abcc-4216d1368705,,,,0,,24,1,292353.5402,9105338.407
19,1,292985.4247,9105365.277,0,815d4260-8cdb-4b31-abcc-4216d1368705,,,,1,,24,1,292257.414,9105365.971
20,1,293109.1146,9105433.84,0,f628369b-0847-43f8-ac65-c20a81862b3e,,,,0,,25,1,292381.1039,9105434.534
20,1,293205.2407,9105406.276,0,f628369b-0847-43f8-ac65-c20a81862b3e,,,,0,,25,1,292477.2301,9105406.97
20,1,293177.677,9105310.15,0,f628369b-0847-43f8-ac65-c20a81862b3e,,,,0,,25,1,292449.6663,9105310.844
20,1,293081.5508,9105337.714,0,f628369b-0847-43f8-ac65-c20a81862b3e,,,,0,,25,1,292353.5402,9105338.407
20,1,293109.1146,9105433.84,0,f628369b-0847-43f8-ac65-c20a81862b3e,,,,1,,26,1,292477.2301,9105406.97
21,1,293081.5508,9105337.714,0,2b628f51-0acf-4bb9-8f4a-ca3012e08ab3,,,,0,,26,1,292573.3562,9105379.406
21,1,293177.677,9105310.15,0,2b628f51-0acf-4bb9-8f4a-ca3012e08ab3,,,,0,,26,1,292545.7925,9105283.28
21,1,293150.1133,9105214.024,0,2b628f51-0acf-4bb9-8f4a-ca3012e08ab3,,,,0,,26,1,292449.6663,9105310.844
21,1,293053.9871,9105241.587,0,2b628f51-0acf-4bb9-8f4a-ca3012e08ab3,,,,0,,27,1,292573.3562,9105379.406
21,1,293081.5508,9105337.714,0,2b628f51-0acf-4bb9-8f4a-ca3012e08ab3,,,,1,,27,1,292669.4824,9105351.842
22,1,292092.7254,9105517.225,0,e900d831-0453-4690-9a8f-15a63811618a,,,,0,,27,1,292641.9187,9105255.716
22,1,292188.8516,9105489.661,0,e900d831-0453-4690-9a8f-15a63811618a,,,,0,,27,1,292545.7925,9105283.28
22,1,292161.2878,9105393.535,0,e900d831-0453-4690-9a8f-15a63811618a,,,,0,,28,1,292669.4824,9105351.842
22,1,292065.1617,9105421.099,0,e900d831-0453-4690-9a8f-15a63811618a,,,,0,,28,1,292765.6086,9105324.279
22,1,292092.7254,9105517.225,0,e900d831-0453-4690-9a8f-15a63811618a,,,,1,,28,1,292738.0448,9105228.153
23,1,292188.8516,9105489.661,0,6b861973-7208-40b1-ba2d-07a61cc39f31,,,,0,,28,1,292641.9187,9105255.716
23,1,292284.9777,9105462.097,0,6b861973-7208-40b1-ba2d-07a61cc39f31,,,,0,,29,1,292765.6086,9105324.279
23,1,292257.414,9105365.971,0,6b861973-7208-40b1-ba2d-07a61cc39f31,,,,0,,29,1,292861.7348,9105296.715
23,1,292161.2878,9105393.535,0,6b861973-7208-40b1-ba2d-07a61cc39f31,,,,0,,29,1,292834.171,9105200.589
23,1,292188.8516,9105489.661,0,6b861973-7208-40b1-ba2d-07a61cc39f31,,,,1,,29,1,292738.0448,9105228.153
24,1,292284.9777,9105462.097,0,4bd99a0d-19b5-442e-8a10-cc605279f01b,,,,0,,30,1,292861.7348,9105296.715
24,1,292381.1039,9105434.534,0,4bd99a0d-19b5-442e-8a10-cc605279f01b,,,,0,,30,1,292957.8609,9105269.151
24,1,292353.5402,9105338.407,0,4bd99a0d-19b5-442e-8a10-cc605279f01b,,,,0,,30,1,292930.2972,9105173.025
24,1,292257.414,9105365.971,0,4bd99a0d-19b5-442e-8a10-cc605279f01b,,,,0,,30,1,292834.171,9105200.589
24,1,292284.9777,9105462.097,0,4bd99a0d-19b5-442e-8a10-cc605279f01b,,,,1,,31,1,292957.8609,9105269.151
25,1,292381.1039,9105434.534,0,445aeb20-05fd-4788-acf8-2c63fe3e1761,,,,0,,31,1,293053.9871,9105241.587
25,1,292477.2301,9105406.97,0,445aeb20-05fd-4788-acf8-2c63fe3e1761,,,,0,,31,1,293026.4234,9105145.461
25,1,292449.6663,9105310.844,0,445aeb20-05fd-4788-acf8-2c63fe3e1761,,,,0,,31,1,292930.2972,9105173.025
